session_id,user_id,timestamp,device_type
SESS_U00003_0_0,U00003,2026-06-01 21:00:00,mobile
SESS_U00007_0_0,U00007,2026-06-01 12:00:00,desktop
SESS_U00008_0_0,U00008,2026-06-01 09:00:00,mobile
SESS_U00009_0_0,U00009,2026-06-01 14:00:00,mobile
SESS_U00011_0_0,U00011,2026-06-01 07:00:00,desktop
SESS_U00015_0_0,U00015,2026-06-01 21:00:00,mobile
SESS_U00018_0_0,U00018,2026-06-01 21:00:00,desktop
SESS_U00021_0_0,U00021,2026-06-01 08:00:00,desktop
SESS_U00022_0_0,U00022,2026-06-01 22:00:00,mobile
SESS_U00027_0_0,U00027,2026-06-01 17:00:00,desktop
SESS_U00028_0_0,U00028,2026-06-01 21:00:00,mobile
SESS_U00033_0_0,U00033,2026-06-01 08:00:00,mobile
SESS_U00037_0_0,U00037,2026-06-01 15:00:00,tablet
SESS_U00037_0_1,U00037,2026-06-01 09:00:00,mobile
SESS_U00047_0_0,U00047,2026-06-01 08:00:00,desktop
SESS_U00048_0_0,U00048,2026-06-01 16:00:00,desktop
SESS_U00050_0_0,U00050,2026-06-01 21:00:00,desktop
SESS_U00051_0_0,U00051,2026-06-01 09:00:00,desktop
SESS_U00052_0_0,U00052,2026-06-01 14:00:00,mobile
SESS_U00058_0_0,U00058,2026-06-01 12:00:00,mobile
SESS_U00058_0_1,U00058,2026-06-01 20:00:00,tablet
SESS_U00059_0_0,U00059,2026-06-01 14:00:00,mobile
SESS_U00060_0_0,U00060,2026-06-01 16:00:00,mobile
SESS_U00064_0_0,U00064,2026-06-01 17:00:00,desktop
SESS_U00071_0_0,U00071,2026-06-01 15:00:00,mobile
SESS_U00073_0_0,U00073,2026-06-01 14:00:00,mobile
SESS_U00077_0_0,U00077,2026-06-01 11:00:00,mobile
SESS_U00078_0_0,U00078,2026-06-01 20:00:00,mobile
SESS_U00079_0_0,U00079,2026-06-01 17:00:00,desktop
SESS_U00080_0_0,U00080,2026-06-01 20:00:00,mobile
SESS_U00080_0_1,U00080,2026-06-01 15:00:00,desktop
SESS_U00087_0_0,U00087,2026-06-01 15:00:00,mobile
SESS_U00091_0_0,U00091,2026-06-01 19:00:00,mobile
SESS_U00096_0_0,U00096,2026-06-01 07:00:00,desktop
SESS_U00097_0_0,U00097,2026-06-01 14:00:00,mobile
SESS_U00098_0_0,U00098,2026-06-01 15:00:00,desktop
SESS_U00099_0_0,U00099,2026-06-01 10:00:00,mobile
SESS_U00106_0_0,U00106,2026-06-01 16:00:00,desktop
SESS_U00109_0_0,U00109,2026-06-01 20:00:00,desktop
SESS_U00112_0_0,U00112,2026-06-01 14:00:00,desktop
SESS_U00114_0_0,U00114,2026-06-01 20:00:00,mobile
SESS_U00115_0_0,U00115,2026-06-01 07:00:00,mobile
SESS_U00116_0_0,U00116,2026-06-01 17:00:00,tablet
SESS_U00119_0_0,U00119,2026-06-01 10:00:00,mobile
SESS_U00120_0_0,U00120,2026-06-01 10:00:00,desktop
SESS_U00123_0_0,U00123,2026-06-01 15:00:00,desktop
SESS_U00125_0_0,U00125,2026-06-01 21:00:00,mobile
SESS_U00128_0_0,U00128,2026-06-01 08:00:00,mobile
SESS_U00129_0_0,U00129,2026-06-01 16:00:00,desktop
SESS_U00129_0_1,U00129,2026-06-01 20:00:00,tablet
SESS_U00133_0_0,U00133,2026-06-01 11:00:00,mobile
SESS_U00134_0_0,U00134,2026-06-01 16:00:00,mobile
SESS_U00137_0_0,U00137,2026-06-01 18:00:00,mobile
SESS_U00137_0_1,U00137,2026-06-01 09:00:00,mobile
SESS_U00147_0_0,U00147,2026-06-01 16:00:00,mobile
SESS_U00149_0_0,U00149,2026-06-01 16:00:00,mobile
SESS_U00150_0_0,U00150,2026-06-01 14:00:00,desktop
SESS_U00157_0_0,U00157,2026-06-01 12:00:00,desktop
SESS_U00158_0_0,U00158,2026-06-01 07:00:00,mobile
SESS_U00162_0_0,U00162,2026-06-01 17:00:00,mobile
SESS_U00166_0_0,U00166,2026-06-01 09:00:00,mobile
SESS_U00167_0_0,U00167,2026-06-01 11:00:00,desktop
SESS_U00170_0_0,U00170,2026-06-01 14:00:00,tablet
SESS_U00174_0_0,U00174,2026-06-01 22:00:00,mobile
SESS_U00175_0_0,U00175,2026-06-01 10:00:00,mobile
SESS_U00179_0_0,U00179,2026-06-01 19:00:00,desktop
SESS_U00179_0_1,U00179,2026-06-01 09:00:00,desktop
SESS_U00185_0_0,U00185,2026-06-01 12:00:00,desktop
SESS_U00187_0_0,U00187,2026-06-01 18:00:00,mobile
SESS_U00187_0_1,U00187,2026-06-01 14:00:00,mobile
SESS_U00191_0_0,U00191,2026-06-01 22:00:00,desktop
SESS_U00192_0_0,U00192,2026-06-01 20:00:00,desktop
SESS_U00196_0_0,U00196,2026-06-01 11:00:00,desktop
SESS_U00197_0_0,U00197,2026-06-01 07:00:00,mobile
SESS_U00197_0_1,U00197,2026-06-01 20:00:00,mobile
SESS_U00200_0_0,U00200,2026-06-01 15:00:00,mobile
SESS_U00203_0_0,U00203,2026-06-01 20:00:00,mobile
SESS_U00205_0_0,U00205,2026-06-01 21:00:00,tablet
SESS_U00216_0_0,U00216,2026-06-01 10:00:00,mobile
SESS_U00219_0_0,U00219,2026-06-01 14:00:00,mobile
SESS_U00223_0_0,U00223,2026-06-01 07:00:00,mobile
SESS_U00225_0_0,U00225,2026-06-01 15:00:00,desktop
SESS_U00226_0_0,U00226,2026-06-01 21:00:00,tablet
SESS_U00228_0_0,U00228,2026-06-01 11:00:00,mobile
SESS_U00231_0_0,U00231,2026-06-01 18:00:00,mobile
SESS_U00231_0_1,U00231,2026-06-01 11:00:00,mobile
SESS_U00233_0_0,U00233,2026-06-01 16:00:00,mobile
SESS_U00237_0_0,U00237,2026-06-01 22:00:00,desktop
SESS_U00241_0_0,U00241,2026-06-01 09:00:00,desktop
SESS_U00246_0_0,U00246,2026-06-01 09:00:00,mobile
SESS_U00246_0_1,U00246,2026-06-01 09:00:00,desktop
SESS_U00251_0_0,U00251,2026-06-01 13:00:00,desktop
SESS_U00254_0_0,U00254,2026-06-01 08:00:00,mobile
SESS_U00257_0_0,U00257,2026-06-01 11:00:00,mobile
SESS_U00259_0_0,U00259,2026-06-01 18:00:00,desktop
SESS_U00261_0_0,U00261,2026-06-01 12:00:00,mobile
SESS_U00264_0_0,U00264,2026-06-01 17:00:00,mobile
SESS_U00264_0_1,U00264,2026-06-01 18:00:00,mobile
SESS_U00265_0_0,U00265,2026-06-01 22:00:00,mobile
SESS_U00268_0_0,U00268,2026-06-01 17:00:00,mobile
SESS_U00269_0_0,U00269,2026-06-01 21:00:00,mobile
SESS_U00270_0_0,U00270,2026-06-01 12:00:00,mobile
SESS_U00270_0_1,U00270,2026-06-01 10:00:00,mobile
SESS_U00274_0_0,U00274,2026-06-01 15:00:00,tablet
SESS_U00276_0_0,U00276,2026-06-01 11:00:00,mobile
SESS_U00284_0_0,U00284,2026-06-01 15:00:00,desktop
SESS_U00289_0_0,U00289,2026-06-01 08:00:00,mobile
SESS_U00295_0_0,U00295,2026-06-01 15:00:00,mobile
SESS_U00295_0_1,U00295,2026-06-01 22:00:00,mobile
SESS_U00297_0_0,U00297,2026-06-01 18:00:00,mobile
SESS_U00297_0_1,U00297,2026-06-01 08:00:00,desktop
SESS_U00299_0_0,U00299,2026-06-01 16:00:00,mobile
SESS_U00305_0_0,U00305,2026-06-01 11:00:00,mobile
SESS_U00306_0_0,U00306,2026-06-01 15:00:00,desktop
SESS_U00307_0_0,U00307,2026-06-01 20:00:00,tablet
SESS_U00312_0_0,U00312,2026-06-01 20:00:00,mobile
SESS_U00312_0_1,U00312,2026-06-01 20:00:00,desktop
